Plant_ID,Scientific Name,NPSOT Propagation Common Name,NPSOT Propagation Materials,NPSOT Propagation Treatment Tags,NPSOT Propagation Public Note,NPSOT Propagation Source URL,NPSOT Propagation References
Arbutus xalapensis,Arbutus xalapensis,Texas Madrone,Seed | Stem,No Treatment | Cutting,Materials listed: Seed | Stem. Treatment tags listed: No Treatment | Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/arbutus-xalapensis/,https://www.wildflower.org/plants/result.php?id_plant=ARXA80 | https://www.fs.usda.gov/database/feis/plants/tree/arbxal/all.html | https://earthone.io/plant/arbutus%20xalapensis
Argemone albiflora,Argemone albiflora,White Prickly Poppy,Seed,No Treatment | Scarification,Materials listed: Seed. Treatment tags listed: No Treatment | Scarification. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/argemone-albiflora/,https://earthone.io/plant/argemone%20albiflora | https://seedsource.com/white-prickly-poppy/ | https://pfaf.org/user/Plant.aspx?LatinName=Argemone+albiflora#:~:text=Plant%20Propagation | https://www.grandprismaticseed.com/natives/prickly-poppy#:~:text=Sow%20seeds%20in%20spring%20or
Aristida purpurea,Aristida purpurea,Purple Threeawn,Seed,No Treatment,Materials listed: Seed. Treatment tags listed: No Treatment. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/aristida-purpurea/,https://courses.washington.edu/esrm412/protocols/2017/ARPU9.pdf
Aristolochia coryi,Aristolochia coryi,Cory's Dutchman's-pipe,Seed | Semi-harwood | Clump | Tuber,No Treatment | Cutting | Division,Materials listed: Seed | Semi-harwood | Clump | Tuber. Treatment tags listed: No Treatment | Cutting | Division. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/aristolochia-coryi/,https://www.botanikks.com/plants/aristolochia-coryi-im-johnston/520723/1 | https://propagate.one/how-to-propagate-aristolochia-coryi/
Aristolochia serpentaria,Aristolochia serpentaria,Virginia Dutchman's Pipe,Seed | Root,"Stratification | Cutting, Division","Materials listed: Seed | Root. Treatment tags listed: Stratification | Cutting, Division. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.",https://www.npsot.org/posts/native-plant/aristolochia-serpentaria/,https://pfaf.org/user/Plant.aspx?LatinName=Aristolochia+Serpentaria#:~:text=Plant%20Propagation
Arnoglossum plantagineum,Arnoglossum plantagineum,Indian Plantain,Seed | Clump,Stratification | No Treatment | Division,Materials listed: Seed | Clump. Treatment tags listed: Stratification | No Treatment | Division. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/arnoglossum-plantagineum/,https://www.prairiemoon.com/arnoglossum-plantagineum-prairie-indian-plantain#panel-planting | https://earthone.io/plant/arnoglossum%20plantagineum | https://ferriseeds.com/products/arnoglossum-plantagineum-br-prairie-indian-plantain#:~:text=Growing%20information | https://npn.rngr.net/renderNPNProtocolDetails?selectedProtocolIds=asteraceae-arnoglossum-257
Artemisia ludoviciana,Artemisia ludoviciana,White Sage,Seed | Clump | Rhizome,Division | Cutting,Materials listed: Seed | Clump | Rhizome. Treatment tags listed: Division | Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/artemisia-ludoviciana/,https://www.nrcs.usda.gov/plantmaterials/ndpmcbr14230.pdf | https://www.prairiemoon.com/artemisia-ludoviciana-prairie-sage#:~:text=The%20plants%20reach%20heights%20of
Asclepias asperula,Asclepias asperula,Antelope Horn Milkweed,Seed | Root | Stem,"Stratification | Cutting, Division | No Treatment | Cutting","Materials listed: Seed | Root | Stem. Treatment tags listed: Stratification | Cutting, Division | No Treatment | Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.",https://www.npsot.org/posts/native-plant/asclepias-asperula/,https://www.grandprismaticseed.com/natives/antelope-horns-milkweed#:~:text=Direct%20sow%20seeds%20in%20autumn | https://monarchbutterflygarden.net/milkweed-for-monarchs/asclepias-asperula-antelope-horns/ | https://txmn.org/goodwater/2017/04/19/antelope-horns-milkweed-for-monarchs/ | https://www.gardenia.net/guide/learn-how-to-plant-care-and-grow-milkweed | https://earthone.io/plant/asclepias%20asperula?srsltid=AfmBOoo9Kbmlw30nA5YMDjK97ITIPfCuPeabxzlOUjAgGysA5m4do9pL
Asclepias incarnata,Asclepias incarnata,Swamp Milkweed,Seed | Stem | Root,No Treatment | Stratification | Cutting | Division | Scarification,Materials listed: Seed | Stem | Root. Treatment tags listed: No Treatment | Stratification | Cutting | Division | Scarification. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/asclepias-incarnata/,https://www.nrcs.usda.gov/plantmaterials/wvpmcot12252.pdf | https://wildseedproject.net/blog/swamp-milkweed#:~:text=To%20grow%20your%20own%20swamp | https://www.gardenia.net/plant/asclepias-incarnata-swamp-milkweed | https://www.westernnativeseed.com/plant%20guides/ascincpg.pdf
Asclepias oenotheroides,Asclepias oenotheroides,Zizotes Milkweed,Seed,No Treatment | Stratification,Materials listed: Seed. Treatment tags listed: No Treatment | Stratification. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/asclepias-oenotheroides/,https://dnr.illinois.gov/education/atoz/seedinstr.html#:~:text=Fall%20Planting%20%2D%20Fall%20is%20the%20best%20time%20for%20planting%20milkweed%20seeds
